Thales|Everything is water in one form or another.
George Berkeley|Our practice must be always shaped immediately by the rule that is framed with respect to the public good of mankind.
Francis Hutcheson|Besides their five external senses, humans have internal senses including a sense of beauty, of morality, of honour, and of the ridiculous.
Francis Hutcheson|Moral sense is our most important sense.
Francis Hutcheson|Moral sense is implanted in people, instinctively approving virtuous actions and disapproving the vicious ones.
Francis Hutcheson|In addition to the uncultivated “state of nature”, there is the cultivated state in which we are following our benevolent nature designed by God.
Francis Hutcheson|Wisdom denotes the pursuing of the best ends by the best means.
Francis Hutcheson|The action which procures the greatest happiness for the greatest numbers is the best.
Francis Hutcheson|Our rights are either alienable (rights to our goods and labours) or unalienable (rights to our life and liberty, to our private judgment).
Francis Hutcheson|No endowments, natural or acquired, can give a perfect right to assume power over others, without their consent; slavery is horridly unjust.
Francis Hutcheson|The foundation of aesthetic value lies in uniformity in variety.
David Hume|All our simple ideas (images in thinking) in their first appearance are derived (copied) from simple impressions (sensations, passions, and emotions).
David Hume|Nothing can ever be present to the mind but an image or perception (idea or impression); there is no immediate intercourse between the mind and the object.
David Hume|Ideas are faint and obscure compared to impressions; the creative power of the mind lies in the mixture of the materials afforded by the senses.
David Hume|The mind has a great propensity to spread itself on external objects, and to conjoin with them any internal impressions.
David Hume|Substance is a fiction: the imagination attaches something unknown and invisible to our collections of perceptions.
David Hume|When I enter into what I call ‘myself’, I always stumble on some particular perception or other; the self is nothing but a bundle of perceptions.
David Hume|Relations of ideas are intuitively or demonstratively certain but the contrary of every matter of fact is still possible; we cannot demonstrate their falsehood.
David Hume|Causal connection cannot be observed; all we experience is the constant conjunction of two events, without a necessary connection or power.
David Hume|A cause is an object precedent and contiguous to another, and so united with it, that the idea of the one determines the mind to form the idea of the other.
David Hume|The necessity in causal relationships is something that exists in the minds, not in objects; it depends on our inference, not the other way round.
David Hume|However many Xs I observe having the property or effect y, that is no proof that the next X I see will have the property or effect y.
David Hume|Custom is the great guide of human (and animal) life: the reliable but unproven, instinctual supposition that the future will be conformable to the past.
David Hume|There should be a degree of doubt, caution, and modesty in all kinds of scrutiny and decision.
David Hume|We have to act and reason and believe when we cannot secure the foundations of these operations; reason is and must be the slave of the passions.
David Hume|It is only (repeated) experience which can enable us to infer the existence of one object from that of another, including that of God.
David Hume|There is no observational evidence for the existence of God or the afterlife – only some inferential, indirect arguments (like the Argument from Design).
David Hume|There is no basis for inferring the existence of an infinitely powerful and good God in face of the contrary evidence of all the evil in this world.
David Hume|Religion is founded on faith, not on reason; it requires the subversion of all the principles of understanding, to believe what is contrary to experience.
David Hume|The idea of an infinitely superior deity sinks the human mind into the lowest submission and abasement, promoting mortification, penance, and passive suffering.
