Thales|Everything is water in one form or another.
Benedict Spinoza|Understanding that we are not free can liberate us, enabling us to come to terms with things as they are.
Benedict Spinoza|We should look at our lives through the eyes of eternity; our personal problems are insignificant in the totality of things.
Benedict Spinoza|Our desire to understand Nature (God) is the very essence of our minds, and this drive to understand also characterizes the good for us.
Benedict Spinoza|Although virtue is founded in rational self-interest, rational self-interest in turn urges us to desire the good of others.
Benedict Spinoza|The true aim of government is liberty, by enabling people to develop their minds and bodies in security.
Benedict Spinoza|Freedom of speech is necessary to secure the public order but seditious ideas are not to be tolerated by the sovereign.
Benedict Spinoza|Everyone is bound to submit to the state; reason bids us carry out even irrational orders because the alternative (living without a state) is worse.
Benedict Spinoza|The law against killing animals is based on superstition; reason dictates that we consider our own advantage and use them at our pleasure.
John Locke|The data from which we start to think should come through our senses, from the outside reality.
John Locke|When we are born the mind is like a blank slate on which experience begins to write.
John Locke|We should analyze our mental faculties and find out their limits; we cannot know everything.
John Locke|What we have direct experience of are the contents of our own consciousness (‘ideas’): sensory images, thoughts, feelings, memories, etc.
John Locke|We can only know the classificatory properties (‘nominal essence’) of a thing, not the material thing in itself (‘real essence’).
John Locke|Our ideas of “primary qualities” (length, weight, velocity, etc.) resemble those qualities and science can deal with these objective qualities.
John Locke|Our ideas of “secondary qualities” (taste, smell, colour, etc.) bear no resemblance to those qualities which are out of the reach of science.
John Locke|We passively acquire simple ideas from perception and sensation, and then actively combine them to generate complex ideas.
John Locke|I can only know the contents of my awareness, not the thing (self) that is having those experiences.
John Locke|Possible knowledge consists entirely of transactions between the mysterious subject and object.
John Locke|A person is a thinking intelligent being, that has reason and reflection, and can consider itself as itself in different times and places.
John Locke|Personal identity is a matter of psychological continuity (in terms of memory).
John Locke|Because knowledge/science starts from observation, there is always room for error.
John Locke|We must always be willing to change our beliefs in the light of changing evidence.
John Locke|It is mistaken and morally wrong for political and religious authorities to impose beliefs.
John Locke|Incogitative matter could never produce thought; there must be an eternal cogitative being, God, giving other knowing beings their powers.
John Locke|As made by God in His own image, human beings were not jungle beasts in the state of nature; God had given them reason and conscience.
John Locke|The social contract is made between free people because the presence of government is better.
John Locke|Sovereignty ultimately remains with the people; they retain their individual natural rights and the government has to secure those rights.
John Locke|People have three natural rights (independent of the laws of any particular society): the right to life, liberty, and property.
John Locke|If the government abuses people’s rights, they have the moral right to overthrow it.
John Locke|One can acquire the property of something by mixing one’s labour with it, but only where there is enough, and as good left in common for others.
John Locke|I can dispose of my property right as I wish; give it, sell it, etc., independently of government.
Anne Conway|There are three ‘species’: God, the source of all being; Christ, the ‘middle nature’; and ‘Creature’.
Anne Conway|A principle of likeness links God and creation; since God is good and just, his creation too is good and just.
Anne Conway|Created substance, like God, consists of spirit, but, unlike God, is constituted of particles (‘monads’).
Anne Conway|All created substance is living, capable of motion and perception; inert corporeal substance would contradict the nature of God, who is life itself.
Anne Conway|Created substance is differentiated from the divine, principally on account of its mutability and multiplicity.
Anne Conway|‘Middle nature’ (Christ) is an intermediary being (a bridge and a buffer) through which God communicates life, action, goodness and justice.
Anne Conway|All things are capable of becoming more spirit-like – more refined qua spiritual substance.
Anne Conway|All things are capable of increased goodness.
Anne Conway|Evil is a falling away from the perfection of God, and suffering is part of a longer term process of spiritual recovery.
Gottfried Wilhelm Leibniz|There are two kinds of truths: (necessary, analytic) truths of reasoning and (contingent) truths of fact.
Gottfried Wilhelm Leibniz|The sufficient reason for a truth of reasoning can be found by analysis, resolving it into simpler ideas and truths until we reach those which are primary.
Gottfried Wilhelm Leibniz|The reasons for a truth of fact are to be found by looking at other such facts; this analysis can be continued into greater detail without limit.
Gottfried Wilhelm Leibniz|The sufficient or ultimate reason for truths of fact must be outside of the sequence of these contingencies; it must be a necessary substance, God.
Gottfried Wilhelm Leibniz|If there is a reality in essences or in possibilities, or in the eternal truths, it must be based upon something existent and actual.
Gottfried Wilhelm Leibniz|God alone (or the Necessary Being) has this privilege that if he is possible he must necessarily exist.
Gottfried Wilhelm Leibniz|There is an infinite number of possible universes in the ideas of God, but only one of them can exist.
Gottfried Wilhelm Leibniz|God, as a perfect being, created the best possible universe with the greatest possible balance of good over evil.
Gottfried Wilhelm Leibniz|If you could step inside an enlarged conscious machine, you would find only mechanical parts, and never anything by which to explain perception.
Gottfried Wilhelm Leibniz|Everything, matter or mind, is made up of indivisible, partless, non-interacting, immaterial, mind-like centers of activity, ‘monads’.
Gottfried Wilhelm Leibniz|Bare monads (all monads in plants and inanimate objects; and subordinate monads in animal/human bodies) have unconscious perceptions.
Gottfried Wilhelm Leibniz|The central monads (‘souls’) of animals have perceptions that are distinct enough to give rise to memory, sensation, and consciousness (‘apperception’).
Gottfried Wilhelm Leibniz|Some monads (God and the central monads of humans and angels; ‘minds’) are capable of self-consciousness and rational perceptions.
Gottfried Wilhelm Leibniz|All souls are created at the beginning of the world and are indestructible; they change their bodies only gradually and there is never perfect death.
